,mitocore,293,mitoparp,293 + high NAD,mitoparp + high NAD,293 + low NAD,mitoparp + low NAD,full_name
ivcoa_m,1.994128081084602,0.0,0.0,0.0,0.0,0.0,0.0,3-Methylbutanoyl-CoA (m)
lac_D_m,0.0,-1.2580545189240842,-1.258054518924084,-1.2580545189240842,-1.2580545189240842,-1.745951345951347,-4.372983772983774,(R)-Lactate (m)
lac_D_m,-1.2580545189240844,0.0,0.0,0.0,0.0,0.0,0.0,(R)-Lactate (m)
lac_L_c,0.0,-0.9391356000051654,-0.9391356000051647,-0.9391356000051658,-0.9391356000051658,-0.0,-0.0,(S)-Lactate (c)
lac_L_c,-0.9391356000051654,0.0,0.0,0.0,0.0,0.0,0.0,(S)-Lactate (c)
lac_L_e,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,(S)-Lactate (e)
leu_L_c,0.0,-0.658641710815624,-0.6586417108156232,-0.0,-0.0,-0.0,-0.0,L-Leucine (c)
leu_L_m,0.0,-0.658641710815624,-0.6586417108156232,-0.0,-0.0,-0.0,-0.0,L-Leucine (m)
leu_L_c,-0.6586417108156251,0.0,0.0,0.0,0.0,0.0,0.0,L-Leucine (c)
leu_L_e,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,L-Leucine (e)
leu_L_m,-0.6586417108156251,0.0,0.0,0.0,0.0,0.0,0.0,L-Leucine (m)
lgt_S_m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(R)-S-Lactoylglutathione (m)
lgt_S_m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(R)-S-Lactoylglutathione (m)
lpro_m,0.0,0.2673343108125717,0.26733431081257164,0.0,0.0,0.0,0.0,Lipoylprotein (m)
lpro_m,0.26733431081257186,0.0,0.0,0.0,0.0,0.0,0.0,Lipoylprotein (m)
lys_L_c,0.0,-2.196718205413858,-2.196718205413858,-0.0,-0.0,-0.0,-0.0,L-Lysine (c)
lys_L_m,0.0,-2.4183398270354797,-2.4183398270354797,-0.22162162162162158,-0.22162162162162158,-0.22162162162162158,-0.22162162162162163,L-Lysine (m)
lys_L_c,-2.1967182054138585,0.0,0.0,0.0,0.0,0.0,0.0,L-Lysine (c)
lys_L_e,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,L-Lysine (e)
lys_L_m,-2.41833982703548,0.0,0.0,0.0,0.0,0.0,0.0,L-Lysine (m)
malACP_c,0.0,0.21868566216392282,0.0,0.0,0.0,0.0,-0.2864864864864865,Malonyl-[acyl-carrier protein] (c)
malACP_c,0.21868566216392327,0.0,0.0,0.0,0.0,0.0,0.0,Malonyl-[acyl-carrier protein] (c)
mal_L_c,0.0,-1.2094058702754356,-1.2094058702754353,-1.2094058702754356,-1.2094058702754356,-1.6973026973026983,-5.054064854064856,(S)-Malate (c)
mal_L_m,0.0,-1.2580545189240842,-1.258054518924084,-1.2580545189240842,-1.2580545189240842,-1.745951345951347,-5.102713502713504,(S)-Malate (m)
mal_L_c,-1.2094058702754358,0.0,0.0,0.0,0.0,0.0,0.0,(S)-Malate (c)
mal_L_e,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,(S)-Malate (e)
mal_L_m,-1.2580545189240844,0.0,0.0,0.0,0.0,0.0,0.0,(S)-Malate (m)
malcoa_c,0.0,2.4373713243278456,2.1887981779286125,2.0,2.1132789067571682,2.0,1.747297297297297,Malonyl-CoA (c)
malcoa_c,2.4373713243278465,0.0,0.0,0.0,0.0,0.0,0.0,Malonyl-CoA (c)
mercplac_c,0.0,-0.987784248653814,-0.9877842486538133,-0.0,-0.0,-0.0,-0.0,3-Mercaptolactate (c)
